Tarih	Urun	SatisNetTutar	Kur	Sicaklik
2014-01-01	Meyve	5088.73	2,1343	7,67
2014-01-01	Sebze	6553.64	2,1343	7,67
2014-01-02	Meyve	12680.46	2,2737	5,67
2014-01-02	Sebze	14815.35	2,2737	5,67
2014-01-03	Meyve	12850.29	2,2168	10,61
2014-01-03	Sebze	15507.22	2,2168	10,61
2014-01-04	Meyve	8361.89	2,1596	11,44
2014-01-04	Sebze	11391.19	2,1596	11,44
2014-01-05	Meyve	11883.61	2,1193	15,00
2014-01-05	Sebze	12585.74	2,1193	15,00
2014-01-06	Meyve	15956.48	2,0954	18,33
2014-01-06	Sebze	13047.6	2,0954	18,33
2014-01-07	Meyve	10185.02	2,1264	24,00
2014-01-07	Sebze	8150.78	2,1264	24,00
2014-01-08	Meyve	9806.53	2,1371	27,83
2014-01-08	Sebze	7815.83	2,1371	27,83
2014-01-09	Meyve	7363.38	2,1623	24,61
2014-01-09	Sebze	10176.79	2,1623	24,61
2014-01-10	Meyve	6063.69	2,2773	17,83
2014-01-10	Sebze	8003.5	2,2773	17,83
2014-01-11	Meyve	12473.3	2,2155	11,61
2014-01-11	Sebze	12422.08	2,2155	11,61
2014-01-12	Meyve	9490.9	2,2087	8,94
2014-01-12	Sebze	11491.58	2,2087	8,94
2014-01-13	Meyve	7429.35	2,1800	8,44
2014-01-13	Sebze	11854.47	2,1800	8,44
2014-01-14	Meyve	6609.4	2,1759	8,72
2014-01-14	Sebze	8940.39	2,1759	8,72
2014-01-15	Meyve	6441.86	2,1949	10,56
2014-01-15	Sebze	8513.31	2,1949	10,56
2014-01-16	Meyve	6644.94	2,1951	11,83
2014-01-16	Sebze	9452.01	2,1951	11,83
2014-01-17	Meyve	6630.46	2,1951	11,17
2014-01-17	Sebze	9770.46	2,1951	11,17
2014-01-18	Meyve	10024.24	2,2124	12,17
2014-01-18	Sebze	13820.02	2,2124	12,17
2014-01-19	Meyve	10588.32	2,2124	13,00
2014-01-19	Sebze	13852.92	2,2124	13,00
2014-01-20	Meyve	8049.2	2,2124	13,06
2014-01-20	Sebze	10116.61	2,2124	13,06
2014-01-21	Meyve	6224.05	2,2425	14,28
2014-01-21	Sebze	7938.28	2,2425	14,28
2014-01-22	Meyve	6162.91	2,2455	11,67
2014-01-22	Sebze	8414.6	2,2455	11,67
2014-01-23	Meyve	6405.02	2,2591	11,06
2014-01-23	Sebze	9160.36	2,2591	11,06
2014-01-24	Meyve	6134.93	2,2782	11,72
2014-01-24	Sebze	9675.37	2,2782	11,72
2014-01-25	Meyve	11032.41	2,3184	13,06
2014-01-25	Sebze	15077.88	2,3184	13,06
2014-01-26	Meyve	11659.88	2,3184	6,78
2014-01-26	Sebze	15737.3	2,3184	6,78
2014-01-27	Meyve	8562.89	2,3184	1,56
2014-01-27	Sebze	12318.36	2,3184	1,56
2014-01-28	Meyve	7490.74	2,3470	6,56
2014-01-28	Sebze	10492.11	2,3470	6,56
2014-01-29	Meyve	6063.12	2,2699	7,44
2014-01-29	Sebze	8535.04	2,2699	7,44
2014-01-30	Meyve	7351.27	2,2274	1,33
2014-01-30	Sebze	8963.84	2,2274	1,33
2014-01-31	Meyve	8580.61	2,2837	3,56
2014-01-31	Sebze	9913.9	2,2837	3,56
2014-02-01	Meyve	6357.4	2,1343	8,78
2014-02-01	Sebze	9804.89	2,1343	8,78
2014-02-02	Meyve	12468.61	2,2737	7,72
2014-02-02	Sebze	14702.76	2,2737	7,72
2014-02-03	Meyve	12941.24	2,2168	12,22
2014-02-03	Sebze	16405.64	2,2168	12,22
2014-02-04	Meyve	7565.78	2,1531	12,33
2014-02-04	Sebze	10928.76	2,1531	12,33
2014-02-05	Meyve	11384.34	2,1193	16,22
2014-02-05	Sebze	9779.89	2,1193	16,22
2014-02-06	Meyve	10192.03	2,0954	18,11
2014-02-06	Sebze	8638.22	2,0954	18,11
2014-02-07	Meyve	10211.86	2,1232	24,17
2014-02-07	Sebze	8617.66	2,1232	24,17
2014-02-08	Meyve	10807.73	2,1485	26,39
2014-02-08	Sebze	9738.64	2,1485	26,39
2014-02-09	Meyve	7485.23	2,1644	25,11
2014-02-09	Sebze	7685.06	2,1644	25,11
2014-02-10	Meyve	6737.29	2,2813	19,33
2014-02-10	Sebze	8848.41	2,2813	19,33
2014-02-11	Meyve	12081.57	2,2012	11,44
2014-02-11	Sebze	13028.27	2,2012	11,44
2014-02-12	Meyve	6958.97	2,2087	10,56
2014-02-12	Sebze	9653.19	2,2087	10,56
2014-02-13	Meyve	6988.19	2,1962	13,56
2014-02-13	Sebze	9358.63	2,1962	13,56
2014-02-14	Meyve	8058.94	2,2042	12,44
2014-02-14	Sebze	17662.58	2,2042	12,44
2014-02-15	Meyve	13144.83	2,1884	8,28
2014-02-15	Sebze	15990.65	2,1884	8,28
2014-02-16	Meyve	12596.29	2,1884	7,56
2014-02-16	Sebze	16038.28	2,1884	7,56
2014-02-17	Meyve	7443.38	2,1884	11,44
2014-02-17	Sebze	11721.97	2,1884	11,44
2014-02-18	Meyve	7049.27	2,1849	11,11
2014-02-18	Sebze	9520.88	2,1849	11,11
2014-02-19	Meyve	6588.98	2,1830	8,06
2014-02-19	Sebze	9050.57	2,1830	8,06
2014-02-20	Meyve	9049.78	2,1920	12,00
2014-02-20	Sebze	8742.21	2,1920	12,00
2014-02-21	Meyve	9650.74	2,2121	10,72
2014-02-21	Sebze	9987.62	2,2121	10,72
2014-02-22	Meyve	12390.93	2,2012	8,67
2014-02-22	Sebze	14840.98	2,2012	8,67
2014-02-23	Meyve	12003.71	2,2012	8,83
2014-02-23	Sebze	15608.87	2,2012	8,83
2014-02-24	Meyve	8243.11	2,2012	6,89
2014-02-24	Sebze	11234.82	2,2012	6,89
2014-02-25	Meyve	7572.16	2,1845	5,50
2014-02-25	Sebze	9660.05	2,1845	5,50
2014-02-26	Meyve	7353.33	2,2086	4,89
2014-02-26	Sebze	9676.31	2,2086	4,89
2014-02-27	Meyve	7505.2	2,2120	6,89
2014-02-27	Sebze	8997.46	2,2120	6,89
2014-02-28	Meyve	7090.4	2,2382	8,61
2014-02-28	Sebze	9772.66	2,2382	8,61
2014-03-01	Meyve	7742.72	2,1757	9,00
2014-03-01	Sebze	11364.27	2,1757	9,00
2014-03-02	Meyve	9136.91	2,2737	7,67
2014-03-02	Sebze	11608.42	2,2737	7,67
2014-03-03	Meyve	9583.08	2,2168	14,56
2014-03-03	Sebze	11821.82	2,2168	14,56
2014-03-04	Meyve	8744.65	2,1350	12,67
2014-03-04	Sebze	11494.6	2,1350	12,67
2014-03-05	Meyve	12117.23	2,1111	18,28
2014-03-05	Sebze	10673.92	2,1111	18,28
2014-03-06	Meyve	11092.67	2,0998	19,22
2014-03-06	Sebze	9103.68	2,0998	19,22
2014-03-07	Meyve	10050.47	2,1312	23,39
2014-03-07	Sebze	8256.04	2,1312	23,39
2014-03-08	Meyve	12596.41	2,1485	25,83
2014-03-08	Sebze	11613.49	2,1485	25,83
2014-03-09	Meyve	7377.17	2,1712	25,89
2014-03-09	Sebze	8159.34	2,1712	25,89
