ozel_gun_adi	baslangic_tarihi_2014	bitis_tarihi_2014	baslangic_tarihi_2015	bitis_tarihi_2015	baslangic_tarihi_2016	bitis_tarihi_2016	baslangic_tarihi_2017	bitis_tarihi_2017	aciklama	ozel_gun_tipi	ozel_gun_tipi_aciklama	resmi_tatil
 Bilişim Haftası	01.05.2016	07.05.2014	01.05.2015	07.05.2015	01.05.2016	07.05.2016	01.05.2017	07.05.2017	Mayıs Ayının İlk Haftası	3	Sosyal-Özel Gün	0
Milli Eğitim Vakfı Kuruluş Günü	19.02.2014	19.02.2014	19.02.2015	19.02.2015	19.02.2016	19.02.2016	19.02.2017	19.02.2017	Sabit	3	Sosyal-Özel Gün	0
Kutlu Doğum Haftası	14.04.2014	20.04.2014	14.04.2015	20.04.2015	14.04.2016	20.04.2016	14.04.2017	20.04.2017	Sabit	2	Dini Gün	0
Dünya Mimarlık Günü	04.10.2014	04.10.2014	04.10.2015	04.10.2015	04.10.2016	04.10.2016	04.10.2017	04.10.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Nüfus Günü	10.07.2014	10.07.2014	10.07.2015	10.07.2015	10.07.2016	10.07.2016	10.07.2017	10.07.2017	Sabit	3	Sosyal-Özel Gün	0
Mevlid Kandili	12.01.2014	13.01.2014	02.01.2015	03.01.2015	10.12.2016	11.12.2016	29.11.2017	30.11.2017	Değişken	2	Dini Gün	0
Mirac Kandili	25.05.2014	26.05.2014	15.05.2015	16.05.2015	03.05.2016	04.05.2016	23.04.2017	24.04.2017	Değişken	2	Dini Gün	0
Hıdrellez	06.05.2014	06.05.2014	06.05.2015	06.05.2015	06.05.2016	06.05.2016	06.05.2017	06.05.2017	Sabit	2	Dini Gün	0
29 Ekim Cumhuriyet Bayramı	29.10.2014	29.10.2014	29.10.2015	29.10.2015	29.10.2016	29.10.2016	29.10.2017	29.10.2017	Sabit	1	Milli Gün	1
Zafer Bayramı	30.08.2014	30.08.2014	30.08.2015	30.08.2015	30.08.2016	30.08.2016	30.08.2017	30.08.2017	Sabit	1	Milli Gün	1
SBS Sınavı (Ortaöğretim)	?	?	?	?	?	?	?	?	Değişken	4	Sınav-Okul Tatilleri	0
