Namespace(batch_size=32, buffer_capacity=50000, clip_grad=True, device='cuda', envname='LunarLander-v2', epsilon_decay=0.995, epsilon_init=1, epsilon_min=0.01, epsilon_range=200, eval_episode=5, eval_period=1000, gamma=0.99, lr=0.0003, max_episode_len=1000, model_dir='models/', n_iterations=150000, save_model=False, start_update=500, target_update_period=250, write_period=100)
Iteration:       0, Train reward:     nan, Eval reward: -605.647, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     100, Train reward: -100.732, Eval reward: -605.647, TD loss:     nan, Episode:    1, Epsilon: 0.99505
Iteration:     200, Train reward: -131.546, Eval reward: -605.647, TD loss:     nan, Episode:    2, Epsilon: 0.9901
Iteration:     300, Train reward: -120.400, Eval reward: -605.647, TD loss:     nan, Episode:    3, Epsilon: 0.98515
Iteration:     400, Train reward: -120.400, Eval reward: -605.647, TD loss:     nan, Episode:    3, Epsilon: 0.98515
Iteration:     500, Train reward: -119.918, Eval reward: -605.647, TD loss:     nan, Episode:    4, Epsilon: 0.9802
Iteration:     600, Train reward: -156.107, Eval reward: -605.647, TD loss: 100.058, Episode:    5, Epsilon: 0.97525
Iteration:     700, Train reward: -177.848, Eval reward: -605.647, TD loss:  90.828, Episode:    6, Epsilon: 0.9702999999999999
Iteration:     800, Train reward: -192.172, Eval reward: -605.647, TD loss:  89.417, Episode:    7, Epsilon: 0.9653499999999999
Iteration:     900, Train reward: -179.811, Eval reward: -605.647, TD loss:  86.672, Episode:    9, Epsilon: 0.9554499999999999
Iteration:    1000, Train reward: -179.811, Eval reward: -322.265, TD loss:  84.928, Episode:    9, Epsilon: 0.9554499999999999
Iteration:    1100, Train reward: -178.747, Eval reward: -322.265, TD loss:  88.801, Episode:   10, Epsilon: 0.9504999999999999
Iteration:    1200, Train reward: -173.304, Eval reward: -322.265, TD loss:  84.767, Episode:   11, Epsilon: 0.9455499999999999
Iteration:    1300, Train reward: -164.095, Eval reward: -322.265, TD loss: 118.164, Episode:   13, Epsilon: 0.9356499999999999
Iteration:    1400, Train reward: -164.095, Eval reward: -322.265, TD loss: 105.153, Episode:   13, Epsilon: 0.9356499999999999
Iteration:    1500, Train reward: -175.511, Eval reward: -322.265, TD loss: 136.911, Episode:   14, Epsilon: 0.9306999999999999
Iteration:    1600, Train reward: -173.298, Eval reward: -322.265, TD loss: 122.973, Episode:   15, Epsilon: 0.9257499999999999
Iteration:    1700, Train reward: -170.112, Eval reward: -322.265, TD loss:  87.305, Episode:   16, Epsilon: 0.9207999999999998
Iteration:    1800, Train reward: -172.627, Eval reward: -322.265, TD loss:  91.932, Episode:   18, Epsilon: 0.9108999999999998
Iteration:    1900, Train reward: -172.627, Eval reward: -322.265, TD loss:  90.441, Episode:   18, Epsilon: 0.9108999999999998
Iteration:    2000, Train reward: -174.058, Eval reward: -580.636, TD loss: 113.749, Episode:   19, Epsilon: 0.9059499999999998
Iteration:    2100, Train reward: -173.146, Eval reward: -580.636, TD loss:  83.680, Episode:   20, Epsilon: 0.9009999999999998
Iteration:    2200, Train reward: -171.008, Eval reward: -580.636, TD loss: 127.457, Episode:   22, Epsilon: 0.8910999999999998
Iteration:    2300, Train reward: -171.008, Eval reward: -580.636, TD loss:  91.410, Episode:   22, Epsilon: 0.8910999999999998
Iteration:    2400, Train reward: -169.737, Eval reward: -580.636, TD loss: 116.946, Episode:   24, Epsilon: 0.8811999999999998
Iteration:    2500, Train reward: -169.737, Eval reward: -580.636, TD loss:  92.466, Episode:   24, Epsilon: 0.8811999999999998
Iteration:    2600, Train reward: -165.356, Eval reward: -580.636, TD loss: 115.764, Episode:   25, Epsilon: 0.8762499999999998
Iteration:    2700, Train reward: -166.877, Eval reward: -580.636, TD loss:  80.942, Episode:   26, Epsilon: 0.8712999999999997
Iteration:    2800, Train reward: -156.757, Eval reward: -580.636, TD loss: 107.732, Episode:   27, Epsilon: 0.8663499999999997
Iteration:    2900, Train reward: -151.766, Eval reward: -580.636, TD loss:  89.949, Episode:   28, Epsilon: 0.8613999999999997
Iteration:    3000, Train reward: -154.187, Eval reward: -211.668, TD loss: 113.589, Episode:   29, Epsilon: 0.8564499999999997
Iteration:    3100, Train reward: -153.759, Eval reward: -211.668, TD loss:  99.797, Episode:   30, Epsilon: 0.8514999999999997
Iteration:    3200, Train reward: -155.765, Eval reward: -211.668, TD loss: 101.417, Episode:   31, Epsilon: 0.8465499999999997
Iteration:    3300, Train reward: -151.389, Eval reward: -211.668, TD loss: 103.816, Episode:   32, Epsilon: 0.8415999999999997
Iteration:    3400, Train reward: -170.450, Eval reward: -211.668, TD loss:  90.281, Episode:   33, Epsilon: 0.8366499999999997
Iteration:    3500, Train reward: -160.449, Eval reward: -211.668, TD loss:  84.648, Episode:   34, Epsilon: 0.8316999999999997
Iteration:    3600, Train reward: -157.730, Eval reward: -211.668, TD loss:  70.062, Episode:   35, Epsilon: 0.8267499999999997
Iteration:    3700, Train reward: -157.235, Eval reward: -211.668, TD loss: 102.709, Episode:   36, Epsilon: 0.8217999999999996
Iteration:    3800, Train reward: -153.453, Eval reward: -211.668, TD loss: 115.000, Episode:   37, Epsilon: 0.8168499999999996
Iteration:    3900, Train reward: -156.051, Eval reward: -211.668, TD loss:  81.385, Episode:   38, Epsilon: 0.8118999999999996
Iteration:    4000, Train reward: -151.651, Eval reward: -211.577, TD loss:  91.998, Episode:   39, Epsilon: 0.8069499999999996
Iteration:    4100, Train reward: -147.922, Eval reward: -211.577, TD loss:  81.840, Episode:   40, Epsilon: 0.8019999999999996
Iteration:    4200, Train reward: -147.922, Eval reward: -211.577, TD loss:  64.315, Episode:   40, Epsilon: 0.8019999999999996
Iteration:    4300, Train reward: -145.094, Eval reward: -211.577, TD loss:  74.572, Episode:   41, Epsilon: 0.7970499999999996
Iteration:    4400, Train reward: -144.439, Eval reward: -211.577, TD loss:  65.354, Episode:   42, Epsilon: 0.7920999999999996
Iteration:    4500, Train reward: -147.946, Eval reward: -211.577, TD loss:  77.855, Episode:   43, Epsilon: 0.7871499999999996
Iteration:    4600, Train reward: -146.831, Eval reward: -211.577, TD loss:  54.008, Episode:   44, Epsilon: 0.7821999999999996
Iteration:    4700, Train reward: -137.648, Eval reward: -211.577, TD loss:  51.181, Episode:   45, Epsilon: 0.7772499999999996
Iteration:    4800, Train reward: -131.106, Eval reward: -211.577, TD loss:  47.543, Episode:   46, Epsilon: 0.7722999999999995
Iteration:    4900, Train reward: -131.445, Eval reward: -211.577, TD loss:  79.093, Episode:   47, Epsilon: 0.7673499999999995
Iteration:    5000, Train reward: -134.110, Eval reward: -88.614, TD loss:  60.888, Episode:   48, Epsilon: 0.7623999999999995
Iteration:    5100, Train reward: -131.217, Eval reward: -88.614, TD loss:  37.829, Episode:   49, Epsilon: 0.7574499999999995
Iteration:    5200, Train reward: -124.616, Eval reward: -88.614, TD loss:  48.061, Episode:   50, Epsilon: 0.7524999999999995
Iteration:    5300, Train reward: -129.246, Eval reward: -88.614, TD loss:  51.898, Episode:   51, Epsilon: 0.7475499999999995
Iteration:    5400, Train reward: -129.246, Eval reward: -88.614, TD loss:  57.292, Episode:   51, Epsilon: 0.7475499999999995
Iteration:    5500, Train reward: -131.642, Eval reward: -88.614, TD loss:  41.189, Episode:   52, Epsilon: 0.7425999999999995
Iteration:    5600, Train reward: -110.447, Eval reward: -88.614, TD loss:  61.704, Episode:   54, Epsilon: 0.7326999999999995
Iteration:    5700, Train reward: -110.447, Eval reward: -88.614, TD loss:  57.458, Episode:   54, Epsilon: 0.7326999999999995
Iteration:    5800, Train reward: -109.868, Eval reward: -88.614, TD loss:  42.469, Episode:   55, Epsilon: 0.7277499999999995
Iteration:    5900, Train reward: -105.832, Eval reward: -88.614, TD loss:  53.493, Episode:   56, Epsilon: 0.7227999999999994
Iteration:    6000, Train reward: -102.354, Eval reward: -92.091, TD loss:  42.483, Episode:   57, Epsilon: 0.7178499999999994
Iteration:    6100, Train reward: -97.824, Eval reward: -92.091, TD loss:  47.557, Episode:   58, Epsilon: 0.7128999999999994
Iteration:    6200, Train reward: -98.525, Eval reward: -92.091, TD loss:  40.106, Episode:   59, Epsilon: 0.7079499999999994
Iteration:    6300, Train reward: -98.525, Eval reward: -92.091, TD loss:  46.331, Episode:   59, Epsilon: 0.7079499999999994
Iteration:    6400, Train reward: -96.452, Eval reward: -92.091, TD loss:  49.176, Episode:   60, Epsilon: 0.7029999999999994
Iteration:    6500, Train reward: -95.749, Eval reward: -92.091, TD loss:  51.653, Episode:   61, Epsilon: 0.6980499999999994
Iteration:    6600, Train reward: -93.390, Eval reward: -92.091, TD loss:  43.717, Episode:   62, Epsilon: 0.6930999999999994
Iteration:    6700, Train reward: -91.431, Eval reward: -92.091, TD loss:  37.466, Episode:   63, Epsilon: 0.6881499999999994
Iteration:    6800, Train reward: -91.431, Eval reward: -92.091, TD loss:  50.403, Episode:   63, Epsilon: 0.6881499999999994
Iteration:    6900, Train reward: -94.581, Eval reward: -92.091, TD loss:  40.842, Episode:   64, Epsilon: 0.6831999999999994
Iteration:    7000, Train reward: -97.169, Eval reward: -117.637, TD loss:  32.496, Episode:   65, Epsilon: 0.6782499999999994
Iteration:    7100, Train reward: -90.945, Eval reward: -117.637, TD loss:  31.131, Episode:   66, Epsilon: 0.6732999999999993
Iteration:    7200, Train reward: -92.575, Eval reward: -117.637, TD loss:  39.762, Episode:   67, Epsilon: 0.6683499999999993
