Namespace(batch_size=32, buffer_capacity=50000, clip_grad=True, device='cuda', envname='LunarLander-v2', epsilon_decay=0.99, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=5, eval_period=1000, gamma=0.99, lr=0.0003, max_episode_len=1000, model_dir='models/', n_iterations=150000, save_model=False, start_update=500, target_update_period=250, write_period=100)
Iteration:       0, Train reward:     nan, Eval reward: -226.398, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     100, Train reward: -174.865, Eval reward: -226.398, TD loss:     nan, Episode:    1, Epsilon: 0.99
Iteration:     200, Train reward: -174.865, Eval reward: -226.398, TD loss:     nan, Episode:    1, Epsilon: 0.99
Iteration:     300, Train reward: -144.486, Eval reward: -226.398, TD loss:     nan, Episode:    2, Epsilon: 0.9801
Iteration:     400, Train reward: -133.818, Eval reward: -226.398, TD loss:     nan, Episode:    3, Epsilon: 0.9702989999999999
Iteration:     500, Train reward: -110.235, Eval reward: -226.398, TD loss:     nan, Episode:    4, Epsilon: 0.96059601
Iteration:     600, Train reward: -118.943, Eval reward: -226.398, TD loss: 103.915, Episode:    6, Epsilon: 0.9414801494009999
Iteration:     700, Train reward: -113.494, Eval reward: -226.398, TD loss:  90.835, Episode:    7, Epsilon: 0.9320653479069899
Iteration:     800, Train reward: -142.479, Eval reward: -226.398, TD loss: 101.953, Episode:    8, Epsilon: 0.92274469442792
Iteration:     900, Train reward: -174.849, Eval reward: -226.398, TD loss: 122.246, Episode:    9, Epsilon: 0.9135172474836407
Iteration:    1000, Train reward: -166.446, Eval reward: -697.804, TD loss:  77.517, Episode:   10, Epsilon: 0.9043820750088043
Iteration:    1100, Train reward: -183.457, Eval reward: -697.804, TD loss: 105.228, Episode:   11, Epsilon: 0.8953382542587163
Iteration:    1200, Train reward: -189.344, Eval reward: -697.804, TD loss:  99.725, Episode:   12, Epsilon: 0.8863848717161291
Iteration:    1300, Train reward: -189.776, Eval reward: -697.804, TD loss:  82.814, Episode:   13, Epsilon: 0.8775210229989678
Iteration:    1400, Train reward: -186.598, Eval reward: -697.804, TD loss:  73.368, Episode:   14, Epsilon: 0.8687458127689781
Iteration:    1500, Train reward: -193.684, Eval reward: -697.804, TD loss:  99.658, Episode:   15, Epsilon: 0.8600583546412883
Iteration:    1600, Train reward: -186.390, Eval reward: -697.804, TD loss:  83.921, Episode:   16, Epsilon: 0.8514577710948754
Iteration:    1700, Train reward: -176.935, Eval reward: -697.804, TD loss:  98.317, Episode:   17, Epsilon: 0.8429431933839266
Iteration:    1800, Train reward: -175.340, Eval reward: -697.804, TD loss:  98.500, Episode:   18, Epsilon: 0.8345137614500874
Iteration:    1900, Train reward: -175.340, Eval reward: -697.804, TD loss:  54.554, Episode:   18, Epsilon: 0.8345137614500874
Iteration:    2000, Train reward: -188.096, Eval reward: -253.172, TD loss:  65.935, Episode:   19, Epsilon: 0.8261686238355865
Iteration:    2100, Train reward: -180.931, Eval reward: -253.172, TD loss:  84.236, Episode:   20, Epsilon: 0.8179069375972307
Iteration:    2200, Train reward: -173.544, Eval reward: -253.172, TD loss:  86.546, Episode:   21, Epsilon: 0.8097278682212583
Iteration:    2300, Train reward: -185.138, Eval reward: -253.172, TD loss:  83.030, Episode:   22, Epsilon: 0.8016305895390458
Iteration:    2400, Train reward: -183.183, Eval reward: -253.172, TD loss:  82.177, Episode:   23, Epsilon: 0.7936142836436553
Iteration:    2500, Train reward: -187.869, Eval reward: -253.172, TD loss:  75.444, Episode:   24, Epsilon: 0.7856781408072188
Iteration:    2600, Train reward: -188.775, Eval reward: -253.172, TD loss:  85.276, Episode:   25, Epsilon: 0.7778213593991465
