Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=50000, clip_grad=True, device='cuda', envname='LunarLander-v2', epsilon_decay=0.925, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=3, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=150000, n_steps=1, natoms=51, no_dist=True, no_double=True, no_dueling=True, no_noisy=True, no_prioritized=False, noisy_std=0.5, save_model=False, start_update=100, target_update_period=500, vmax=200, vmin=-200, write_period=100)
Iteration:       0, Train reward:     nan, Eval reward: -145.411, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     100, Train reward:     nan, Eval reward: -145.411, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     200, Train reward: -154.570, Eval reward: -145.411, TD loss:   0.826, Episode:    2, Epsilon: 0.8556250000000001
Iteration:     300, Train reward: -154.570, Eval reward: -145.411, TD loss:   1.106, Episode:    2, Epsilon: 0.8556250000000001
Iteration:     400, Train reward: -269.666, Eval reward: -145.411, TD loss:   1.296, Episode:    3, Epsilon: 0.7914531250000001
Iteration:     500, Train reward: -231.141, Eval reward: -145.411, TD loss:   1.422, Episode:    4, Epsilon: 0.7320941406250001
Iteration:     600, Train reward: -234.944, Eval reward: -145.411, TD loss:   1.544, Episode:    5, Epsilon: 0.6771870800781251
Iteration:     700, Train reward: -234.944, Eval reward: -145.411, TD loss:   1.771, Episode:    5, Epsilon: 0.6771870800781251
Iteration:     800, Train reward: -267.250, Eval reward: -145.411, TD loss:   1.931, Episode:    6, Epsilon: 0.6263980490722657
Iteration:     900, Train reward: -241.785, Eval reward: -145.411, TD loss:   2.083, Episode:    7, Epsilon: 0.5794181953918458
Iteration:    1000, Train reward: -241.785, Eval reward: -342.818, TD loss:   2.193, Episode:    7, Epsilon: 0.5794181953918458
Iteration:    1100, Train reward: -239.046, Eval reward: -342.818, TD loss:   2.289, Episode:    8, Epsilon: 0.5359618307374574
Iteration:    1200, Train reward: -220.767, Eval reward: -342.818, TD loss:   2.090, Episode:    9, Epsilon: 0.49576469343214813
Iteration:    1300, Train reward: -204.899, Eval reward: -342.818, TD loss:   2.393, Episode:   10, Epsilon: 0.45858234142473703
Iteration:    1400, Train reward: -192.914, Eval reward: -342.818, TD loss:   2.352, Episode:   11, Epsilon: 0.4241886658178818
Iteration:    1500, Train reward: -192.914, Eval reward: -342.818, TD loss:   1.949, Episode:   11, Epsilon: 0.4241886658178818
Iteration:    1600, Train reward: -192.914, Eval reward: -342.818, TD loss:   1.738, Episode:   11, Epsilon: 0.4241886658178818
Iteration:    1700, Train reward: -191.967, Eval reward: -342.818, TD loss:   1.752, Episode:   12, Epsilon: 0.39237451588154065
Iteration:    1800, Train reward: -191.967, Eval reward: -342.818, TD loss:   1.793, Episode:   12, Epsilon: 0.39237451588154065
Iteration:    1900, Train reward: -191.967, Eval reward: -342.818, TD loss:   1.779, Episode:   12, Epsilon: 0.39237451588154065
Iteration:    2000, Train reward: -180.851, Eval reward: -129.848, TD loss:   1.785, Episode:   13, Epsilon: 0.36294642719042514
Iteration:    2100, Train reward: -189.513, Eval reward: -129.848, TD loss:   1.896, Episode:   14, Epsilon: 0.3357254451511433
Iteration:    2200, Train reward: -189.513, Eval reward: -129.848, TD loss:   1.828, Episode:   14, Epsilon: 0.3357254451511433
Iteration:    2300, Train reward: -189.513, Eval reward: -129.848, TD loss:   1.615, Episode:   14, Epsilon: 0.3357254451511433
Iteration:    2400, Train reward: -175.592, Eval reward: -129.848, TD loss:   1.722, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    2500, Train reward: -175.592, Eval reward: -129.848, TD loss:   1.701, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    2600, Train reward: -175.592, Eval reward: -129.848, TD loss:   1.649, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    2700, Train reward: -175.592, Eval reward: -129.848, TD loss:   1.498, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    2800, Train reward: -175.592, Eval reward: -129.848, TD loss:   1.362, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    2900, Train reward: -175.592, Eval reward: -129.848, TD loss:   1.349, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    3000, Train reward: -175.592, Eval reward: -115.659, TD loss:   1.311, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    3100, Train reward: -175.592, Eval reward: -115.659, TD loss:   1.202, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    3200, Train reward: -175.592, Eval reward: -115.659, TD loss:   1.264, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    3300, Train reward: -175.592, Eval reward: -115.659, TD loss:   1.241, Episode:   15, Epsilon: 0.3105460367648075
Iteration:    3400, Train reward: -171.283, Eval reward: -115.659, TD loss:   1.267, Episode:   16, Epsilon: 0.287255084007447
Iteration:    3500, Train reward: -171.283, Eval reward: -115.659, TD loss:   1.112, Episode:   16, Epsilon: 0.287255084007447
Iteration:    3600, Train reward: -171.283, Eval reward: -115.659, TD loss:   1.118, Episode:   16, Epsilon: 0.287255084007447
Iteration:    3700, Train reward: -171.283, Eval reward: -115.659, TD loss:   1.045, Episode:   16, Epsilon: 0.287255084007447
Iteration:    3800, Train reward: -171.283, Eval reward: -115.659, TD loss:   1.026, Episode:   16, Epsilon: 0.287255084007447
Iteration:    3900, Train reward: -171.283, Eval reward: -115.659, TD loss:   1.074, Episode:   16, Epsilon: 0.287255084007447
Iteration:    4000, Train reward: -171.283, Eval reward: -167.995, TD loss:   1.028, Episode:   16, Epsilon: 0.287255084007447
Iteration:    4100, Train reward: -170.516, Eval reward: -167.995, TD loss:   1.169, Episode:   17, Epsilon: 0.2657109527068885
Iteration:    4200, Train reward: -170.516, Eval reward: -167.995, TD loss:   1.157, Episode:   17, Epsilon: 0.2657109527068885
Iteration:    4300, Train reward: -170.516, Eval reward: -167.995, TD loss:   1.139, Episode:   17, Epsilon: 0.2657109527068885
