Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=10000, clip_grad=False, device='cuda', envname='LunarLander-v2', epsilon_decay=0.9, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=5, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=300000, n_steps=1, natoms=51, no_dist=False, no_double=True, no_dueling=True, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=100, vmax=100, vmin=-100, write_period=100)
Iteration:       0, Train reward:    3.088, Eval reward:  -28.877, TD loss:  -1.594, Epsiode:    0, Epsilon:     1.0
Iteration:     100, Train reward:  -57.223, Eval reward:   -51.54, TD loss: -12.297, Epsiode:    1, Epsilon:     0.9
Iteration:     200, Train reward: -102.766, Eval reward:  -45.279, TD loss: -25.638, Epsiode:    2, Epsilon:    0.81
Iteration:     300, Train reward: -193.208, Eval reward:  -66.794, TD loss: 192.811, Epsiode:    3, Epsilon:   0.729
Iteration:     400, Train reward: -154.723, Eval reward:  -54.741, TD loss: 191.361, Epsiode:    4, Epsilon:   0.656
Iteration:     500, Train reward: -106.198, Eval reward:  -47.251, TD loss: 182.459, Epsiode:    5, Epsilon:    0.59
Iteration:     600, Train reward: -112.872, Eval reward:  -51.367, TD loss: 179.046, Epsiode:    5, Epsilon:    0.59
Iteration:     700, Train reward: -111.618, Eval reward:  -59.739, TD loss: 167.504, Epsiode:    6, Epsilon:   0.531
Iteration:     800, Train reward: -118.026, Eval reward:   -40.78, TD loss: 187.078, Epsiode:    6, Epsilon:   0.531
Iteration:     900, Train reward: -143.673, Eval reward:  -31.281, TD loss: 160.052, Epsiode:    7, Epsilon:   0.478
Iteration:    1000, Train reward: -147.873, Eval reward: -283.953, TD loss: 174.137, Epsiode:    8, Epsilon:    0.43
Iteration:    1100, Train reward: -132.256, Eval reward: -296.027, TD loss: 164.933, Epsiode:    9, Epsilon:   0.387
Iteration:    1200, Train reward: -121.535, Eval reward: -304.508, TD loss: 165.483, Epsiode:   10, Epsilon:   0.349
Iteration:    1300, Train reward: -111.484, Eval reward: -290.841, TD loss: 159.178, Epsiode:   10, Epsilon:   0.349
Iteration:    1400, Train reward:  -116.96, Eval reward: -279.581, TD loss:  161.15, Epsiode:   10, Epsilon:   0.349
Iteration:    1500, Train reward: -117.258, Eval reward: -283.421, TD loss: 156.492, Epsiode:   11, Epsilon:   0.314
Iteration:    1600, Train reward: -109.069, Eval reward: -308.994, TD loss: 142.542, Epsiode:   11, Epsilon:   0.314
Iteration:    1700, Train reward: -106.251, Eval reward: -286.435, TD loss: 139.895, Epsiode:   12, Epsilon:   0.282
Iteration:    1800, Train reward: -108.237, Eval reward: -304.849, TD loss: 138.308, Epsiode:   12, Epsilon:   0.282
Iteration:    1900, Train reward: -117.118, Eval reward: -283.959, TD loss:  136.21, Epsiode:   13, Epsilon:   0.254
Iteration:    2000, Train reward: -133.115, Eval reward:  -78.176, TD loss:  150.98, Epsiode:   13, Epsilon:   0.254
Iteration:    2100, Train reward: -111.751, Eval reward:  -76.829, TD loss: 142.625, Epsiode:   13, Epsilon:   0.254
Iteration:    2200, Train reward: -119.011, Eval reward:  -55.534, TD loss: 149.865, Epsiode:   13, Epsilon:   0.254
Iteration:    2300, Train reward: -111.113, Eval reward:  -68.233, TD loss: 139.526, Epsiode:   13, Epsilon:   0.254
Iteration:    2400, Train reward: -138.275, Eval reward:  -82.893, TD loss: 154.132, Epsiode:   13, Epsilon:   0.254
Iteration:    2500, Train reward: -105.867, Eval reward:  -85.878, TD loss: 136.663, Epsiode:   13, Epsilon:   0.254
Iteration:    2600, Train reward: -124.139, Eval reward:   -66.11, TD loss: 170.244, Epsiode:   13, Epsilon:   0.254
Iteration:    2700, Train reward: -116.953, Eval reward:  -65.423, TD loss: 144.693, Epsiode:   13, Epsilon:   0.254
Iteration:    2800, Train reward: -120.324, Eval reward:  -62.434, TD loss: 140.621, Epsiode:   13, Epsilon:   0.254
Iteration:    2900, Train reward:  -89.662, Eval reward:  -71.046, TD loss:  141.83, Epsiode:   14, Epsilon:   0.229
Iteration:    3000, Train reward: -112.255, Eval reward: -150.876, TD loss: 134.018, Epsiode:   14, Epsilon:   0.229
Iteration:    3100, Train reward: -101.195, Eval reward: -145.148, TD loss: 138.241, Epsiode:   14, Epsilon:   0.229
Iteration:    3200, Train reward:  -99.996, Eval reward: -159.094, TD loss: 136.177, Epsiode:   14, Epsilon:   0.229
Iteration:    3300, Train reward:  -85.865, Eval reward: -147.601, TD loss: 135.394, Epsiode:   14, Epsilon:   0.229
Iteration:    3400, Train reward: -122.636, Eval reward: -163.944, TD loss: 141.594, Epsiode:   14, Epsilon:   0.229
Iteration:    3500, Train reward:  -96.861, Eval reward: -151.403, TD loss: 127.303, Epsiode:   14, Epsilon:   0.229
Iteration:    3600, Train reward: -102.061, Eval reward: -131.778, TD loss: 160.377, Epsiode:   14, Epsilon:   0.229
Iteration:    3700, Train reward: -114.011, Eval reward: -147.537, TD loss:  141.91, Epsiode:   14, Epsilon:   0.229
Iteration:    3800, Train reward:  -92.065, Eval reward: -141.086, TD loss: 150.526, Epsiode:   14, Epsilon:   0.229
Iteration:    3900, Train reward: -103.975, Eval reward: -161.282, TD loss: 145.934, Epsiode:   15, Epsilon:   0.206
Iteration:    4000, Train reward: -101.172, Eval reward:  -110.98, TD loss: 137.665, Epsiode:   15, Epsilon:   0.206
Iteration:    4100, Train reward:    -81.3, Eval reward: -115.277, TD loss: 136.903, Epsiode:   15, Epsilon:   0.206
Iteration:    4200, Train reward:  -97.005, Eval reward: -121.833, TD loss: 163.931, Epsiode:   15, Epsilon:   0.206
Iteration:    4300, Train reward:  -77.876, Eval reward: -103.885, TD loss: 138.073, Epsiode:   15, Epsilon:   0.206
Iteration:    4400, Train reward:    -94.8, Eval reward: -129.163, TD loss: 155.076, Epsiode:   15, Epsilon:   0.206
Iteration:    4500, Train reward:  -92.889, Eval reward: -100.616, TD loss: 138.014, Epsiode:   15, Epsilon:   0.206
Iteration:    4600, Train reward:  -86.215, Eval reward:   -97.18, TD loss: 142.606, Epsiode:   15, Epsilon:   0.206
Iteration:    4700, Train reward:  -97.964, Eval reward: -112.386, TD loss:  127.18, Epsiode:   15, Epsilon:   0.206
Iteration:    4800, Train reward: -105.161, Eval reward: -117.294, TD loss: 136.596, Epsiode:   15, Epsilon:   0.206
Iteration:    4900, Train reward: -110.738, Eval reward: -130.942, TD loss: 152.082, Epsiode:   16, Epsilon:   0.185
Iteration:    5000, Train reward: -124.493, Eval reward: -141.067, TD loss: 151.644, Epsiode:   16, Epsilon:   0.185
Iteration:    5100, Train reward:  -86.558, Eval reward: -138.703, TD loss: 148.875, Epsiode:   16, Epsilon:   0.185
