Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=10000, clip_grad=False, device='cuda', envname='LunarLander-v2', epsilon_decay=0.9, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=5, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=300000, n_steps=1, natoms=51, no_dist=False, no_double=True, no_dueling=True, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=100, vmax=100, vmin=-100, write_period=100)
Iteration:       0, Train reward:   12.434, Eval reward: -513.512, TD loss:  14.869, Epsiode:    0, Epsilon:     1.0
Iteration:     100, Train reward: -143.947, Eval reward: -496.186, TD loss:  -3.635, Epsiode:    1, Epsilon:     0.9
Iteration:     200, Train reward: -113.425, Eval reward: -525.564, TD loss: -16.703, Epsiode:    2, Epsilon:    0.81
Iteration:     300, Train reward:  -64.178, Eval reward: -516.313, TD loss: 176.736, Epsiode:    3, Epsilon:   0.729
Iteration:     400, Train reward: -163.851, Eval reward: -527.614, TD loss: 179.715, Epsiode:    4, Epsilon:   0.656
Iteration:     500, Train reward: -170.941, Eval reward: -516.292, TD loss: 210.145, Epsiode:    4, Epsilon:   0.656
Iteration:     600, Train reward: -160.347, Eval reward: -519.803, TD loss: 187.798, Epsiode:    5, Epsilon:    0.59
Iteration:     700, Train reward: -163.927, Eval reward: -520.383, TD loss: 193.059, Epsiode:    6, Epsilon:   0.531
Iteration:     800, Train reward: -177.043, Eval reward: -519.782, TD loss: 163.027, Epsiode:    7, Epsilon:   0.478
Iteration:     900, Train reward:   -164.5, Eval reward: -502.397, TD loss: 202.031, Epsiode:    8, Epsilon:    0.43
Iteration:    1000, Train reward: -162.652, Eval reward:   -104.4, TD loss:  180.82, Epsiode:    8, Epsilon:    0.43
Iteration:    1100, Train reward: -168.354, Eval reward:  -62.506, TD loss: 160.275, Epsiode:    8, Epsilon:    0.43
Iteration:    1200, Train reward: -157.295, Eval reward:  -91.076, TD loss: 178.424, Epsiode:    9, Epsilon:   0.387
Iteration:    1300, Train reward:  -182.94, Eval reward:  -83.515, TD loss:  156.57, Epsiode:    9, Epsilon:   0.387
Iteration:    1400, Train reward:   -135.3, Eval reward:  -84.469, TD loss: 181.506, Epsiode:   10, Epsilon:   0.349
Iteration:    1500, Train reward:  -165.12, Eval reward:  -62.973, TD loss: 156.427, Epsiode:   11, Epsilon:   0.314
Iteration:    1600, Train reward: -135.933, Eval reward:  -73.252, TD loss: 155.139, Epsiode:   11, Epsilon:   0.314
Iteration:    1700, Train reward: -164.764, Eval reward:  -73.045, TD loss: 143.368, Epsiode:   11, Epsilon:   0.314
Iteration:    1800, Train reward: -148.286, Eval reward:   -71.48, TD loss: 144.442, Epsiode:   11, Epsilon:   0.314
Iteration:    1900, Train reward: -145.522, Eval reward:   -80.57, TD loss: 132.734, Epsiode:   12, Epsilon:   0.282
Iteration:    2000, Train reward: -142.606, Eval reward: -184.726, TD loss: 156.157, Epsiode:   12, Epsilon:   0.282
Iteration:    2100, Train reward: -146.209, Eval reward: -172.067, TD loss:  152.65, Epsiode:   12, Epsilon:   0.282
Iteration:    2200, Train reward: -136.907, Eval reward: -173.544, TD loss: 160.171, Epsiode:   12, Epsilon:   0.282
Iteration:    2300, Train reward: -149.962, Eval reward: -173.007, TD loss: 151.862, Epsiode:   12, Epsilon:   0.282
Iteration:    2400, Train reward: -143.407, Eval reward: -170.242, TD loss:  148.77, Epsiode:   12, Epsilon:   0.282
Iteration:    2500, Train reward: -152.011, Eval reward: -173.614, TD loss: 164.283, Epsiode:   12, Epsilon:   0.282
Iteration:    2600, Train reward: -139.753, Eval reward: -198.063, TD loss: 139.328, Epsiode:   12, Epsilon:   0.282
Iteration:    2700, Train reward: -118.555, Eval reward: -179.754, TD loss: 146.902, Epsiode:   12, Epsilon:   0.282
Iteration:    2800, Train reward: -140.087, Eval reward: -177.899, TD loss:  157.15, Epsiode:   12, Epsilon:   0.282
Iteration:    2900, Train reward:   -139.6, Eval reward: -171.312, TD loss: 155.388, Epsiode:   13, Epsilon:   0.254
Iteration:    3000, Train reward: -120.302, Eval reward: -110.297, TD loss: 139.926, Epsiode:   13, Epsilon:   0.254
Iteration:    3100, Train reward:   -135.3, Eval reward: -106.314, TD loss: 155.647, Epsiode:   13, Epsilon:   0.254
Iteration:    3200, Train reward: -118.692, Eval reward: -102.073, TD loss: 142.713, Epsiode:   13, Epsilon:   0.254
Iteration:    3300, Train reward: -130.169, Eval reward:  -94.297, TD loss: 153.349, Epsiode:   13, Epsilon:   0.254
Iteration:    3400, Train reward: -130.421, Eval reward: -100.311, TD loss: 143.083, Epsiode:   13, Epsilon:   0.254
