Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=10000, clip_grad=False, device='cuda', envname='LunarLander-v2', epsilon_decay=0.9, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=5, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=300000, n_steps=1, natoms=51, no_dist=False, no_double=True, no_dueling=True, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=100, vmax=100, vmin=-100, write_period=100)
Iteration:       0, Train reward:   -3.392, Eval reward: -400.466, TD loss:  -7.435, Epsiode:    0, Epsilon:     1.0
Iteration:     100, Train reward: -415.849, Eval reward: -383.116, TD loss:  -5.155, Epsiode:    1, Epsilon:     0.9
Iteration:     200, Train reward: -331.604, Eval reward: -387.572, TD loss: -33.159, Epsiode:    2, Epsilon:    0.81
Iteration:     300, Train reward: -311.734, Eval reward: -375.383, TD loss: 193.338, Epsiode:    3, Epsilon:   0.729
Iteration:     400, Train reward: -240.307, Eval reward:  -405.39, TD loss: 210.419, Epsiode:    4, Epsilon:   0.656
Iteration:     500, Train reward: -235.055, Eval reward:  -390.29, TD loss: 197.539, Epsiode:    5, Epsilon:    0.59
Iteration:     600, Train reward: -254.331, Eval reward: -385.255, TD loss: 179.678, Epsiode:    5, Epsilon:    0.59
Iteration:     700, Train reward: -225.489, Eval reward:  -397.55, TD loss: 182.801, Epsiode:    6, Epsilon:   0.531
Iteration:     800, Train reward: -230.486, Eval reward: -375.112, TD loss: 190.258, Epsiode:    7, Epsilon:   0.478
Iteration:     900, Train reward: -222.859, Eval reward: -394.462, TD loss: 155.335, Epsiode:    8, Epsilon:    0.43
Iteration:    1000, Train reward: -220.298, Eval reward: -193.775, TD loss:  178.23, Epsiode:    8, Epsilon:    0.43
Iteration:    1100, Train reward: -208.221, Eval reward:  -198.86, TD loss: 144.947, Epsiode:    8, Epsilon:    0.43
Iteration:    1200, Train reward:  -221.27, Eval reward:  -187.59, TD loss:  175.44, Epsiode:    8, Epsilon:    0.43
Iteration:    1300, Train reward:  -229.03, Eval reward: -190.949, TD loss: 146.991, Epsiode:    8, Epsilon:    0.43
Iteration:    1400, Train reward: -207.282, Eval reward: -180.914, TD loss: 158.301, Epsiode:    8, Epsilon:    0.43
Iteration:    1500, Train reward: -210.601, Eval reward: -192.701, TD loss: 145.292, Epsiode:    8, Epsilon:    0.43
Iteration:    1600, Train reward: -218.817, Eval reward: -185.291, TD loss: 159.386, Epsiode:    8, Epsilon:    0.43
Iteration:    1700, Train reward: -232.621, Eval reward: -186.071, TD loss: 166.103, Epsiode:    8, Epsilon:    0.43
Iteration:    1800, Train reward: -208.081, Eval reward: -187.564, TD loss: 155.835, Epsiode:    8, Epsilon:    0.43
Iteration:    1900, Train reward: -205.471, Eval reward: -199.649, TD loss: 160.717, Epsiode:    9, Epsilon:   0.387
Iteration:    2000, Train reward: -175.529, Eval reward: -219.053, TD loss: 166.519, Epsiode:    9, Epsilon:   0.387
Iteration:    2100, Train reward: -172.481, Eval reward: -218.035, TD loss: 149.006, Epsiode:    9, Epsilon:   0.387
Iteration:    2200, Train reward: -188.955, Eval reward: -205.953, TD loss: 154.183, Epsiode:    9, Epsilon:   0.387
Iteration:    2300, Train reward: -183.346, Eval reward:  -217.21, TD loss: 135.082, Epsiode:    9, Epsilon:   0.387
Iteration:    2400, Train reward: -171.605, Eval reward: -213.153, TD loss: 143.474, Epsiode:    9, Epsilon:   0.387
Iteration:    2500, Train reward: -159.142, Eval reward: -214.819, TD loss: 124.143, Epsiode:    9, Epsilon:   0.387
Iteration:    2600, Train reward: -186.278, Eval reward: -207.448, TD loss: 157.374, Epsiode:    9, Epsilon:   0.387
Iteration:    2700, Train reward: -174.708, Eval reward: -225.798, TD loss: 137.922, Epsiode:    9, Epsilon:   0.387
Iteration:    2800, Train reward: -171.399, Eval reward: -214.471, TD loss: 150.185, Epsiode:    9, Epsilon:   0.387
