Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=10000, clip_grad=False, device='cuda', envname='LunarLander-v2', epsilon_decay=0.9, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=5, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=300000, n_steps=1, natoms=51, no_dist=False, no_double=True, no_dueling=True, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=100, vmax=100, vmin=-100, write_period=100)
Iteration:       0, Train reward:    4.251, Eval reward: -551.856, TD loss:  -9.271, Epsiode:    0, Epsilon:     1.0
Iteration:     100, Train reward:    2.684, Eval reward: -542.789, TD loss:   -3.24, Epsiode:    0, Epsilon:     1.0
Iteration:     200, Train reward: -261.254, Eval reward: -524.281, TD loss:  -7.773, Epsiode:    1, Epsilon:     0.9
Iteration:     300, Train reward: -330.764, Eval reward: -529.079, TD loss: 185.085, Epsiode:    2, Epsilon:    0.81
Iteration:     400, Train reward: -187.611, Eval reward: -527.261, TD loss: 193.064, Epsiode:    4, Epsilon:   0.656
Iteration:     500, Train reward:  -209.41, Eval reward: -516.911, TD loss:  190.68, Epsiode:    5, Epsilon:    0.59
Iteration:     600, Train reward: -198.577, Eval reward: -533.423, TD loss: 180.195, Epsiode:    6, Epsilon:   0.531
Iteration:     700, Train reward: -184.187, Eval reward: -532.174, TD loss: 196.108, Epsiode:    7, Epsilon:   0.478
Iteration:     800, Train reward: -194.876, Eval reward: -530.884, TD loss:   186.4, Epsiode:    8, Epsilon:    0.43
Iteration:     900, Train reward: -203.415, Eval reward: -545.222, TD loss: 189.015, Epsiode:    8, Epsilon:    0.43
Iteration:    1000, Train reward: -172.858, Eval reward:  -124.45, TD loss: 162.554, Epsiode:    9, Epsilon:   0.387
Iteration:    1100, Train reward: -177.168, Eval reward: -138.582, TD loss: 172.261, Epsiode:    9, Epsilon:   0.387
Iteration:    1200, Train reward: -163.556, Eval reward: -136.192, TD loss: 166.136, Epsiode:    9, Epsilon:   0.387
