Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=10000, clip_grad=False, device='cuda', envname='LunarLander-v2', epsilon_decay=0.9, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=5, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=300000, n_steps=1, natoms=51, no_dist=False, no_double=True, no_dueling=True, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=100, vmax=100, vmin=-100, write_period=100)
Iteration:       0, Train reward:   -6.306, Eval reward: -630.191, TD loss: -10.085, Epsiode:    0, Epsilon:     1.0
Iteration:     100, Train reward:   -8.016, Eval reward: -623.294, TD loss:   0.197, Epsiode:    0, Epsilon:     1.0
Iteration:     200, Train reward: -252.407, Eval reward: -618.681, TD loss: -11.433, Epsiode:    2, Epsilon:    0.81
Iteration:     300, Train reward: -249.975, Eval reward: -632.474, TD loss: 206.344, Epsiode:    2, Epsilon:    0.81
Iteration:     400, Train reward: -221.536, Eval reward: -626.944, TD loss: 202.953, Epsiode:    3, Epsilon:   0.729
Iteration:     500, Train reward: -264.648, Eval reward: -622.902, TD loss: 191.117, Epsiode:    4, Epsilon:   0.656
Iteration:     600, Train reward: -267.693, Eval reward: -646.497, TD loss: 173.446, Epsiode:    5, Epsilon:    0.59
Iteration:     700, Train reward: -230.797, Eval reward: -635.052, TD loss: 163.308, Epsiode:    6, Epsilon:   0.531
Iteration:     800, Train reward: -250.645, Eval reward: -618.434, TD loss: 172.935, Epsiode:    7, Epsilon:   0.478
Iteration:     900, Train reward: -264.093, Eval reward: -644.407, TD loss: 178.877, Epsiode:    7, Epsilon:   0.478
Iteration:    1000, Train reward: -251.197, Eval reward: -154.403, TD loss: 156.935, Epsiode:    8, Epsilon:    0.43
Iteration:    1100, Train reward:  -278.52, Eval reward: -152.528, TD loss: 178.474, Epsiode:    8, Epsilon:    0.43
Iteration:    1200, Train reward:  -245.14, Eval reward:  -143.99, TD loss: 160.762, Epsiode:    9, Epsilon:   0.387
Iteration:    1300, Train reward: -227.741, Eval reward: -132.973, TD loss: 151.848, Epsiode:    9, Epsilon:   0.387
Iteration:    1400, Train reward: -223.413, Eval reward: -151.814, TD loss: 157.841, Epsiode:    9, Epsilon:   0.387
Iteration:    1500, Train reward: -207.759, Eval reward: -159.103, TD loss: 163.256, Epsiode:   10, Epsilon:   0.349
Iteration:    1600, Train reward: -189.253, Eval reward: -164.338, TD loss: 164.251, Epsiode:   11, Epsilon:   0.314
Iteration:    1700, Train reward: -208.997, Eval reward: -136.815, TD loss: 140.787, Epsiode:   11, Epsilon:   0.314
Iteration:    1800, Train reward: -199.033, Eval reward: -154.886, TD loss:  164.72, Epsiode:   12, Epsilon:   0.282
Iteration:    1900, Train reward: -184.135, Eval reward: -158.746, TD loss: 140.266, Epsiode:   13, Epsilon:   0.254
Iteration:    2000, Train reward: -198.832, Eval reward: -189.611, TD loss: 126.018, Epsiode:   13, Epsilon:   0.254
Iteration:    2100, Train reward: -206.725, Eval reward: -192.502, TD loss:  155.63, Epsiode:   13, Epsilon:   0.254
Iteration:    2200, Train reward: -207.802, Eval reward: -187.717, TD loss: 149.878, Epsiode:   14, Epsilon:   0.229
Iteration:    2300, Train reward: -185.908, Eval reward: -188.676, TD loss: 153.712, Epsiode:   14, Epsilon:   0.229
Iteration:    2400, Train reward: -171.947, Eval reward: -196.656, TD loss: 134.388, Epsiode:   15, Epsilon:   0.206
Iteration:    2500, Train reward: -172.587, Eval reward: -163.843, TD loss: 139.661, Epsiode:   16, Epsilon:   0.185
Iteration:    2600, Train reward:  -170.15, Eval reward: -196.156, TD loss: 149.076, Epsiode:   16, Epsilon:   0.185
Iteration:    2700, Train reward: -177.092, Eval reward: -180.334, TD loss: 131.907, Epsiode:   16, Epsilon:   0.185
Iteration:    2800, Train reward: -181.857, Eval reward: -206.172, TD loss: 142.355, Epsiode:   16, Epsilon:   0.185
Iteration:    2900, Train reward:  -167.35, Eval reward: -201.165, TD loss: 140.296, Epsiode:   16, Epsilon:   0.185
Iteration:    3000, Train reward: -170.056, Eval reward: -143.225, TD loss: 147.919, Epsiode:   16, Epsilon:   0.185
Iteration:    3100, Train reward: -179.918, Eval reward: -129.227, TD loss: 133.055, Epsiode:   16, Epsilon:   0.185
Iteration:    3200, Train reward: -185.354, Eval reward: -137.449, TD loss:  127.13, Epsiode:   16, Epsilon:   0.185
Iteration:    3300, Train reward: -168.882, Eval reward: -128.891, TD loss:  148.39, Epsiode:   17, Epsilon:   0.167
Iteration:    3400, Train reward: -191.475, Eval reward: -123.367, TD loss: 145.654, Epsiode:   17, Epsilon:   0.167
Iteration:    3500, Train reward: -176.914, Eval reward: -125.539, TD loss: 154.481, Epsiode:   18, Epsilon:    0.15
Iteration:    3600, Train reward: -171.882, Eval reward: -140.229, TD loss: 138.969, Epsiode:   18, Epsilon:    0.15
Iteration:    3700, Train reward: -189.293, Eval reward: -127.941, TD loss: 140.631, Epsiode:   18, Epsilon:    0.15
Iteration:    3800, Train reward: -163.049, Eval reward: -135.904, TD loss: 139.055, Epsiode:   18, Epsilon:    0.15
Iteration:    3900, Train reward: -170.841, Eval reward: -137.602, TD loss: 136.374, Epsiode:   18, Epsilon:    0.15
Iteration:    4000, Train reward:  -169.57, Eval reward: -149.823, TD loss: 138.218, Epsiode:   18, Epsilon:    0.15
Iteration:    4100, Train reward: -153.175, Eval reward: -178.341, TD loss: 139.426, Epsiode:   18, Epsilon:    0.15
Iteration:    4200, Train reward: -163.429, Eval reward: -143.052, TD loss: 139.846, Epsiode:   19, Epsilon:   0.135
Iteration:    4300, Train reward: -177.715, Eval reward: -132.384, TD loss: 147.175, Epsiode:   19, Epsilon:   0.135
Iteration:    4400, Train reward: -148.746, Eval reward: -154.279, TD loss: 141.294, Epsiode:   19, Epsilon:   0.135
Iteration:    4500, Train reward: -163.962, Eval reward: -146.052, TD loss:  135.26, Epsiode:   19, Epsilon:   0.135
Iteration:    4600, Train reward: -191.411, Eval reward: -145.748, TD loss: 149.522, Epsiode:   19, Epsilon:   0.135
Iteration:    4700, Train reward: -179.879, Eval reward: -160.574, TD loss:  152.01, Epsiode:   19, Epsilon:   0.135
Iteration:    4800, Train reward: -163.865, Eval reward: -142.992, TD loss: 144.023, Epsiode:   19, Epsilon:   0.135
Iteration:    4900, Train reward:  -155.07, Eval reward: -156.365, TD loss: 152.252, Epsiode:   19, Epsilon:   0.135
Iteration:    5000, Train reward: -154.391, Eval reward: -127.916, TD loss: 145.221, Epsiode:   19, Epsilon:   0.135
Iteration:    5100, Train reward: -166.212, Eval reward: -145.301, TD loss: 129.997, Epsiode:   19, Epsilon:   0.135
Iteration:    5200, Train reward: -186.499, Eval reward: -129.151, TD loss: 141.036, Epsiode:   20, Epsilon:   0.122
