Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=50000, clip_grad=True, device='cuda', envname='LunarLander-v2', epsilon_decay=0.925, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=3, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=150000, n_steps=5, natoms=51, no_dist=True, no_double=True, no_dueling=True, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=500, vmax=200, vmin=-200, write_period=100)
Iteration:       0, Train reward:     nan, Eval reward: -171.011, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     100, Train reward: -155.745, Eval reward: -171.011, TD loss:     nan, Episode:    5, Epsilon: 0.6771870800781251
Iteration:     200, Train reward: -247.933, Eval reward: -171.011, TD loss:   8.834, Episode:    8, Epsilon: 0.5359618307374574
Iteration:     300, Train reward: -224.634, Eval reward: -171.011, TD loss:   8.603, Episode:   12, Epsilon: 0.39237451588154065
Iteration:     400, Train reward: -203.615, Eval reward: -171.011, TD loss:   7.197, Episode:   15, Epsilon: 0.3105460367648075
Iteration:     500, Train reward: -230.251, Eval reward: -171.011, TD loss:   6.326, Episode:   19, Epsilon: 0.2273489339098315
Iteration:     600, Train reward: -251.021, Eval reward: -171.011, TD loss:   6.536, Episode:   22, Epsilon: 0.1799360242083546
Iteration:     700, Train reward: -263.010, Eval reward: -171.011, TD loss:   5.809, Episode:   23, Epsilon: 0.16644082239272803
Iteration:     800, Train reward: -263.010, Eval reward: -171.011, TD loss:   5.670, Episode:   23, Epsilon: 0.16644082239272803
Iteration:     900, Train reward: -259.649, Eval reward: -171.011, TD loss:   5.459, Episode:   25, Epsilon: 0.14241092865977795
Iteration:    1000, Train reward: -249.546, Eval reward: -150.349, TD loss:   5.104, Episode:   26, Epsilon: 0.1317301090102946
Iteration:    1100, Train reward: -241.408, Eval reward: -150.349, TD loss:   6.863, Episode:   28, Epsilon: 0.11271157452193334
Iteration:    1200, Train reward: -229.365, Eval reward: -150.349, TD loss:   5.703, Episode:   29, Epsilon: 0.10425820643278834
Iteration:    1300, Train reward: -226.030, Eval reward: -150.349, TD loss:   5.586, Episode:   30, Epsilon: 0.09643884095032922
Iteration:    1400, Train reward: -220.579, Eval reward: -150.349, TD loss:   5.659, Episode:   31, Epsilon: 0.08920592787905453
Iteration:    1500, Train reward: -220.579, Eval reward: -150.349, TD loss:   5.726, Episode:   31, Epsilon: 0.08920592787905453
Iteration:    1600, Train reward: -225.816, Eval reward: -150.349, TD loss:   7.257, Episode:   32, Epsilon: 0.08251548328812544
