Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=50000, clip_grad=True, device='cuda', envname='LunarLander-v2', epsilon_decay=0.925, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=3, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=150000, n_steps=1, natoms=51, no_dist=True, no_double=False, no_dueling=True, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=500, vmax=200, vmin=-200, write_period=100)
Iteration:       0, Train reward:     nan, Eval reward: -602.615, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     100, Train reward:     nan, Eval reward: -602.615, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     200, Train reward: -112.148, Eval reward: -602.615, TD loss:   2.585, Episode:    2, Epsilon: 0.8556250000000001
Iteration:     300, Train reward: -112.148, Eval reward: -602.615, TD loss:   1.838, Episode:    2, Epsilon: 0.8556250000000001
Iteration:     400, Train reward: -152.559, Eval reward: -602.615, TD loss:   1.629, Episode:    3, Epsilon: 0.7914531250000001
Iteration:     500, Train reward: -186.858, Eval reward: -602.615, TD loss:   1.563, Episode:    4, Epsilon: 0.7320941406250001
Iteration:     600, Train reward: -165.547, Eval reward: -602.615, TD loss:   1.567, Episode:    5, Epsilon: 0.6771870800781251
Iteration:     700, Train reward: -153.066, Eval reward: -602.615, TD loss:   1.689, Episode:    6, Epsilon: 0.6263980490722657
Iteration:     800, Train reward: -151.083, Eval reward: -602.615, TD loss:   1.258, Episode:    7, Epsilon: 0.5794181953918458
Iteration:     900, Train reward: -151.083, Eval reward: -602.615, TD loss:   1.774, Episode:    7, Epsilon: 0.5794181953918458
Iteration:    1000, Train reward: -148.769, Eval reward: -192.886, TD loss:   1.426, Episode:    8, Epsilon: 0.5359618307374574
Iteration:    1100, Train reward: -148.769, Eval reward: -192.886, TD loss:   1.359, Episode:    8, Epsilon: 0.5359618307374574
Iteration:    1200, Train reward: -142.048, Eval reward: -192.886, TD loss:   1.634, Episode:    9, Epsilon: 0.49576469343214813
