Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=50000, clip_grad=True, device='cuda', envname='LunarLander-v2', epsilon_decay=0.925, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=3, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=150000, n_steps=1, natoms=51, no_dist=True, no_double=True, no_dueling=False, no_noisy=True, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=500, vmax=200, vmin=-200, write_period=100)
Iteration:       0, Train reward:     nan, Eval reward: -2267.731, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     100, Train reward: -123.309, Eval reward: -2267.731, TD loss:     nan, Episode:    1, Epsilon: 0.925
Iteration:     200, Train reward: -270.298, Eval reward: -2267.731, TD loss:   1.318, Episode:    2, Epsilon: 0.8556250000000001
Iteration:     300, Train reward: -191.542, Eval reward: -2267.731, TD loss:   1.600, Episode:    3, Epsilon: 0.7914531250000001
Iteration:     400, Train reward: -172.391, Eval reward: -2267.731, TD loss:   1.136, Episode:    4, Epsilon: 0.7320941406250001
Iteration:     500, Train reward: -172.391, Eval reward: -2267.731, TD loss:   1.024, Episode:    4, Epsilon: 0.7320941406250001
Iteration:     600, Train reward: -147.403, Eval reward: -2267.731, TD loss:   1.394, Episode:    6, Epsilon: 0.6263980490722657
Iteration:     700, Train reward: -147.403, Eval reward: -2267.731, TD loss:   1.088, Episode:    6, Epsilon: 0.6263980490722657
Iteration:     800, Train reward: -139.135, Eval reward: -2267.731, TD loss:   1.254, Episode:    7, Epsilon: 0.5794181953918458
Iteration:     900, Train reward: -139.135, Eval reward: -2267.731, TD loss:   1.370, Episode:    7, Epsilon: 0.5794181953918458
Iteration:    1000, Train reward: -137.083, Eval reward: -200.291, TD loss:   1.385, Episode:    8, Epsilon: 0.5359618307374574
Iteration:    1100, Train reward: -143.110, Eval reward: -200.291, TD loss:   1.436, Episode:    9, Epsilon: 0.49576469343214813
Iteration:    1200, Train reward: -136.981, Eval reward: -200.291, TD loss:   1.006, Episode:   10, Epsilon: 0.45858234142473703
Iteration:    1300, Train reward: -136.981, Eval reward: -200.291, TD loss:   1.211, Episode:   10, Epsilon: 0.45858234142473703
