Namespace(alpha=0.6, batch_size=32, beta_init=0.4, buffer_capacity=50000, clip_grad=True, device='cuda', envname='LunarLander-v2', epsilon_decay=0.925, epsilon_init=1, epsilon_min=0.01, epsilon_range=None, eval_episode=3, eval_period=1000, gamma=0.99, lr=0.001, max_episode_len=1000, model_dir='models/', n_iterations=300000, n_steps=1, natoms=51, no_dist=True, no_double=True, no_dueling=True, no_noisy=False, no_prioritized=True, noisy_std=0.5, save_model=False, start_update=100, target_update_period=500, vmax=100, vmin=-100, write_period=100)
Iteration:       0, Train reward:     nan, Eval reward: -575.667, TD loss:     nan, Episode:    0, Epsilon:    1
Iteration:     100, Train reward: -603.866, Eval reward: -575.667, TD loss:     nan, Episode:    1, Epsilon: 0.925
Iteration:     200, Train reward: -530.336, Eval reward: -575.667, TD loss:   2.856, Episode:    2, Epsilon: 0.8556250000000001
Iteration:     300, Train reward: -530.336, Eval reward: -575.667, TD loss:   1.379, Episode:    2, Epsilon: 0.8556250000000001
Iteration:     400, Train reward: -381.920, Eval reward: -575.667, TD loss:   1.746, Episode:    3, Epsilon: 0.7914531250000001
Iteration:     500, Train reward: -381.920, Eval reward: -575.667, TD loss:   1.730, Episode:    3, Epsilon: 0.7914531250000001
Iteration:     600, Train reward: -381.920, Eval reward: -575.667, TD loss:   1.729, Episode:    3, Epsilon: 0.7914531250000001
Iteration:     700, Train reward: -317.157, Eval reward: -575.667, TD loss:   1.668, Episode:    4, Epsilon: 0.7320941406250001
Iteration:     800, Train reward: -324.546, Eval reward: -575.667, TD loss:   1.305, Episode:    5, Epsilon: 0.6771870800781251
Iteration:     900, Train reward: -324.546, Eval reward: -575.667, TD loss:   1.008, Episode:    5, Epsilon: 0.6771870800781251
Iteration:    1000, Train reward: -324.546, Eval reward: -90.592, TD loss:   1.235, Episode:    5, Epsilon: 0.6771870800781251
Iteration:    1100, Train reward: -278.636, Eval reward: -90.592, TD loss:   1.584, Episode:    6, Epsilon: 0.6263980490722657
Iteration:    1200, Train reward: -278.636, Eval reward: -90.592, TD loss:   1.166, Episode:    6, Epsilon: 0.6263980490722657
Iteration:    1300, Train reward: -236.107, Eval reward: -90.592, TD loss:   1.337, Episode:    7, Epsilon: 0.5794181953918458
Iteration:    1400, Train reward: -236.107, Eval reward: -90.592, TD loss:   1.466, Episode:    7, Epsilon: 0.5794181953918458
Iteration:    1500, Train reward: -224.605, Eval reward: -90.592, TD loss:   1.262, Episode:    8, Epsilon: 0.5359618307374574
Iteration:    1600, Train reward: -224.605, Eval reward: -90.592, TD loss:   1.739, Episode:    8, Epsilon: 0.5359618307374574
Iteration:    1700, Train reward: -205.141, Eval reward: -90.592, TD loss:   1.482, Episode:    9, Epsilon: 0.49576469343214813
Iteration:    1800, Train reward: -205.141, Eval reward: -90.592, TD loss:   1.509, Episode:    9, Epsilon: 0.49576469343214813
Iteration:    1900, Train reward: -201.436, Eval reward: -90.592, TD loss:   1.202, Episode:   10, Epsilon: 0.45858234142473703
Iteration:    2000, Train reward: -201.436, Eval reward:  -1.025, TD loss:   1.513, Episode:   10, Epsilon: 0.45858234142473703
Iteration:    2100, Train reward: -219.394, Eval reward:  -1.025, TD loss:   1.369, Episode:   11, Epsilon: 0.4241886658178818
Iteration:    2200, Train reward: -219.394, Eval reward:  -1.025, TD loss:   1.245, Episode:   11, Epsilon: 0.4241886658178818
Iteration:    2300, Train reward: -219.394, Eval reward:  -1.025, TD loss:   1.337, Episode:   11, Epsilon: 0.4241886658178818
